responseID,VCF0101,VCF0104,VCF0105a,VCF0110,VCF0114,VCF0127,VCF0128,VCF0130,VCF0140,VCF0143,VCF0146,VCF0147,VCF0901b,VCF0302,VCF0310,VCF0733,VCF0849,VCF0705,VCF0305
59944,46,1,5,4,4,2,4,5,6,5,9,7,OK,1,2,0,5,0,4
59945,37,2,3,3,3,2,4,5,5,1,9,1,ID,4,1,1,1,3,1
59946,40,2,1,2,4,2,4,3,3,1,9,1,VA,2,2,7,1,1,2
59947,41,1,3,3,2,2,2,5,4,5,9,1,CA,1,1,2,1,1,3
59948,72,1,4,4,5,2,4,5,6,1,9,5,CO,2,2,9,5,2,1
59949,71,2,1,3,1,2,4,5,5,1,9,3,TX,2,3,3,1,1,2
59950,37,2,1,3,1,2,1,5,4,1,9,1,WI,1,2,3,5,2,3
59951,45,2,1,2,1,2,1,1,3,1,1,1,MS,1,1,2,5,0,3
59952,70,2,1,2,3,2,1,5,3,1,9,1,AZ,2,2,9,5,1,1
59953,43,1,5,3,3,2,4,5,4,5,1,4,CA,5,2,7,1,1,3
59954,37,2,5,2,3,2,4,5,3,5,2,1,MD,5,2,0,5,1,4
59955,55,1,1,2,4,2,4,2,3,1,1,1,WI,5,2,3,5,1,3
59956,30,2,1,2,1,2,4,5,3,1,2,2,OR,1,2,9,5,2,4
59957,38,1,3,4,4,2,4,2,6,5,9,1,VA,5,3,2,1,1,3
59958,41,2,2,3,1,2,1,5,5,1,2,3,NC,2,2,2,1,0,2
59959,66,1,5,3,2,2,2,5,5,1,9,1,ID,2,3,1,5,0,2
59960,54,1,1,4,5,2,2,5,6,1,1,1,MA,2,3,7,1,1,2
59961,55,1,1,4,4,1,2,5,6,1,9,1,NH,5,3,7,1,1,4
59962,62,2,1,4,3,2,2,2,6,1,9,1,NV,5,3,7,1,1,4
59963,80,2,1,2,2,2,2,1,3,1,9,5,WI,5,2,1,1,1,3
59964,31,1,5,4,3,2,2,4,6,1,2,2,PA,1,2,1,5,0,4
59965,80,2,5,1,2,2,2,1,2,5,1,5,CA,5,3,6,1,1,4
59966,24,1,1,4,4,1,4,5,6,1,9,2,NY,2,3,7,1,1,2
59967,55,1,1,4,3,2,4,1,6,1,9,1,AZ,1,3,9,5,0,4
59968,59,2,5,1,2,2,2,5,2,5,2,1,CA,5,3,2,6,0,3
59969,73,1,1,4,2,2,1,5,6,1,9,1,GA,5,2,1,1,1,4
59970,72,2,1,1,2,2,1,1,2,1,1,5,NC,2,3,1,5,2,2
59971,50,1,1,4,4,2,2,5,6,1,1,1,VA,2,1,2,5,2,2
59972,66,1,1,4,5,2,2,5,6,1,1,1,NY,1,3,6,5,1,3
59973,41,1,5,2,3,2,4,5,3,5,9,1,AZ,5,2,2,1,1,4
59974,52,2,3,2,1,2,4,4,3,1,2,4,HI,2,2,9,5,0,1
59975,45,1,4,3,3,2,4,5,5,1,9,3,CO,4,1,5,5,0,1
59976,46,2,1,4,1,2,1,5,6,1,1,2,ID,5,3,7,1,1,4
59977,66,1,1,4,4,1,1,4,6,1,9,1,WI,1,3,1,5,2,4
59978,60,2,1,4,4,2,2,4,6,1,1,3,NY,5,3,7,1,1,3
59979,73,2,1,4,3,2,1,4,6,1,9,1,TX,1,2,1,5,2,4
59980,71,2,2,3,3,2,1,1,5,1,9,1,IL,5,3,7,5,1,4
59981,28,2,1,4,1,2,4,5,6,1,2,2,OH,2,2,7,1,1,2
59982,73,2,1,4,2,2,4,5,6,1,1,1,AR,5,3,7,1,1,4
59983,0,1,1,4,0,2,1,9,6,1,1,1,GA,1,3,5,5,2,4
59984,37,2,1,4,4,2,1,2,6,1,9,1,TX,1,1,2,5,2,4
59985,56,2,2,3,1,2,1,1,5,1,1,2,PA,5,2,3,5,1,4
