responseID,VCF0705
4039,2
3763,2
6572,2
6413,2
4744,2
2959,1
827,1
90,2
6606,1
3699,1
853,2
1452,2
1699,1
4708,2
2402,2
598,2
6855,1
37,1
2881,1
4419,2
5521,2
1177,1
335,1
3727,2
734,2
6067,2
1661,1
8172,1
2708,1
5462,2
6527,2
2397,2
7718,2
1172,2
2896,1
4857,2
3295,2
4655,2
3014,2
2118,1
5945,1
4310,2
2580,1
3099,2
2493,2
3050,2
1651,2
7846,1
6930,2
6905,1
6938,1
1842,1
1912,1
3753,1
2373,1
7795,1
3680,1
4581,1
6698,2
8119,1
597,1
4397,1
5375,2
4064,1
7582,1
1569,1
4079,1
4737,1
5925,2
5549,2
632,1
6008,2
4843,1
4276,1
7388,2
7995,1
108,2
423,1
1786,1
771,1
7492,1
5284,2
2544,2
1127,1
8005,1
658,1
2529,2
3436,2
6536,2
6836,2
2209,2
3879,2
5824,1
2497,2
3370,2
5177,2
2843,1
17,1
6415,1
3490,2
