responseID,VCF0101,VCF0104,VCF0105a,VCF0130,VCF0302,VCF0310,VCF0705,VCF0733,VCF0305,VCF0803,VCF0901b
59944,46,1,5,5,1,2,0,0,4,6,OK
59945,37,2,3,5,4,1,3,1,1,4,ID
59946,40,2,1,3,2,2,1,7,2,2,VA
59947,41,1,3,5,1,1,1,2,3,3,CA
59948,72,1,4,5,2,2,2,9,1,5,CO
59949,71,2,1,5,2,3,1,3,2,4,TX
59950,37,2,1,5,1,2,2,3,3,4,WI
59951,45,2,1,1,1,1,0,2,3,9,MS
59952,70,2,1,5,2,2,1,9,1,9,AZ
59953,43,1,5,5,5,2,1,7,3,9,CA
59954,37,2,5,5,5,2,1,0,4,9,MD
59955,55,1,1,2,5,2,1,3,3,4,WI
59956,30,2,1,5,1,2,2,9,4,6,OR
59957,38,1,3,2,5,3,1,2,3,3,VA
59958,41,2,2,5,2,2,0,2,2,4,NC
59959,66,1,5,5,2,3,0,1,2,6,ID
59960,54,1,1,5,2,3,1,7,2,3,MA
59961,55,1,1,5,5,3,1,7,4,3,NH
59962,62,2,1,2,5,3,1,7,4,2,NV
59963,80,2,1,1,5,2,1,1,3,3,WI
59964,31,1,5,4,1,2,0,1,4,6,PA
59965,80,2,5,1,5,3,1,6,4,4,CA
59966,24,1,1,5,2,3,1,7,2,2,NY
59967,55,1,1,1,1,3,0,9,4,6,AZ
59968,59,2,5,5,5,3,0,2,3,9,CA
59969,73,1,1,5,5,2,1,1,4,2,GA
59970,72,2,1,1,2,3,2,1,2,9,NC
59971,50,1,1,5,2,1,2,2,2,5,VA
59972,66,1,1,5,1,3,1,6,3,5,NY
59973,41,1,5,5,5,2,1,2,4,4,AZ
59974,52,2,3,4,2,2,0,9,1,9,HI
59975,45,1,4,5,4,1,0,5,1,4,CO
59976,46,2,1,5,5,3,1,7,4,2,ID
59977,66,1,1,4,1,3,2,1,4,6,WI
59978,60,2,1,4,5,3,1,7,3,2,NY
59979,73,2,1,4,1,2,2,1,4,9,TX
59980,71,2,2,1,5,3,1,7,4,9,IL
59981,28,2,1,5,2,2,1,7,2,1,OH
59982,73,2,1,5,5,3,1,7,4,1,AR
59983,0,1,1,9,1,3,2,5,4,6,GA
59984,37,2,1,2,1,1,2,2,4,6,TX
59985,56,2,2,1,5,2,1,3,4,4,PA
59986,48,1,1,5,1,3,2,4,4,7,NM
59987,53,2,1,5,1,3,2,7,4,7,KS
59988,72,2,1,5,2,2,2,1,2,3,CA
59989,55,1,1,5,1,2,2,5,4,6,MO
59990,79,1,1,1,5,3,1,6,4,2,PA
59991,38,1,1,5,2,2,1,3,2,3,MN
59992,42,2,3,1,1,2,2,3,4,4,CA
59993,70,1,1,4,2,3,1,4,2,6,MO
59994,50,2,4,1,5,3,1,5,4,4,TX
59995,50,2,2,5,5,3,1,2,4,2,VA
