responseID,VCF0705
59944,2
59945,3
59946,1
59947,2
59948,3
59949,3
59950,2
59951,2
59952,3
59953,1
59954,1
59955,1
59956,2
59957,1
59958,3
59959,2
59960,3
59961,1
59962,1
59963,1
59964,2
59965,1
59966,1
59967,2
59968,1
59969,1
59970,3
59971,2
59972,2
59973,1
59974,3
59975,3
59976,1
59977,2
59978,1
59979,2
59980,1
59981,1
59982,1
59983,2
59984,2
59985,1
59986,2
59987,2
59988,3
59989,2
59990,1
59991,3
59992,2
59993,2
59994,1
59995,1
59996,3
59997,2
59998,3
59999,2
60000,1
60001,3
60002,2
60003,2
60004,3
60005,1
60006,1
60007,1
60008,1
60009,1
60010,3
60011,1
60012,1
60013,1
60014,1
60015,1
60016,1
60017,1
60018,2
60019,3
60020,1
60021,1
60022,3
60023,1
60024,2
60025,2
60026,1
60027,3
60028,1
60029,1
60030,3
60031,1
60032,2
60033,2
60034,2
60035,2
60036,2
60037,1
60038,3
60039,2
60040,3
60041,1
60042,1
60043,3
60044,1
60045,3
60046,1
60047,2
60048,2
60049,1
60050,2
60051,3
60052,2
60053,2
60054,2
60055,2
60056,1
60057,2
60058,2
60059,2
60060,1
60061,2
60062,3
60063,2
60064,2
60065,1
60066,1
60067,2
60068,2
60069,3
60070,1
60071,2
60072,1
60073,3
60074,1
60075,2
60076,2
60077,2
60078,1
60079,2
60080,2
60081,2
60082,2
60083,3
60084,3
60085,1
60086,1
60087,1
60088,1
60089,3
60090,1
60091,3
60092,1
60093,1
60094,2
60095,1
60096,2
60097,1
60098,2
60099,2
60100,2
60101,1
60102,2
60103,2
60104,2
60105,2
60106,1
60107,1
60108,1
60109,1
60110,2
60111,1
60112,3
60113,1
60114,2
60115,1
60116,1
60117,1
60118,1
60119,3
60120,3
60121,1
60122,2
60123,2
60124,2
60125,2
60126,2
60127,1
60128,1
60129,3
60130,1
60131,1
60132,1
60133,1
60134,2
60135,3
60136,3
60137,1
60138,1
60139,2
60140,3
60141,1
60142,2
60143,3
60144,1
60145,2
60146,3
60147,3
60148,3
60149,3
60150,1
60151,1
60152,1
60153,2
60154,2
60155,1
60156,1
60157,2
60158,3
60159,2
60160,1
60161,2
60162,2
60163,3
60164,2
60165,1
60166,2
60167,3
60168,3
60169,3
60170,3
60171,1
60172,3
60173,2
60174,2
60175,1
60176,1
60177,1
60178,2
60179,2
60180,1
60181,3
60182,1
60183,1
60184,3
60185,1
60186,1
60187,3
60188,2
60189,1
60190,2
60191,1
60192,1
60193,1
60194,1
60195,1
60196,1
60197,2
60198,3
60199,2
60200,2
60201,2
60202,1
60203,1
60204,1
60205,1
60206,2
60207,1
60208,1
60209,3
60210,2
60211,1
60212,2
60213,2
60214,3
60215,1
60216,2
60217,1
60218,2
60219,2
60220,1
60221,3
60222,1
60223,3
60224,2
60225,2
60226,2
60227,2
60228,1
60229,1
60230,1
60231,2
60232,2
60233,1
60234,3
60235,2
60236,3
60237,1
60238,3
60239,2
60240,1
60241,1
60242,2
60243,3
60244,2
60245,1
60246,3
60247,3
60248,2
60249,1
60250,1
60251,3
60252,2
60253,3
60254,1
60255,3
60256,1
60257,2
60258,2
60259,2
60260,1
60261,2
60262,2
60263,1
60264,1
60265,1
60266,1
60267,2
60268,3
60269,1
60270,1
60271,2
60272,2
60273,2
60274,2
60275,1
60276,2
60277,3
60278,2
60279,3
60280,1
60281,2
60282,2
60283,1
60284,1
60285,3
60286,1
60287,3
60288,3
60289,2
60290,1
60291,1
60292,2
60293,2
60294,1
60295,1
60296,3
60297,2
60298,3
60299,1
60300,2
60301,3
60302,3
60303,1
60304,1
60305,2
60306,1
60307,1
60308,2
60309,2
60310,3
60311,1
60312,2
60313,2
60314,3
60315,3
60316,2
60317,1
60318,2
60319,2
60320,1
60321,2
60322,2
60323,3
60324,1
60325,2
60326,2
60327,3
60328,1
60329,2
60330,3
60331,1
60332,1
60333,3
60334,2
60335,1
60336,3
60337,3
60338,3
60339,1
60340,1
60341,1
60342,1
60343,3
60344,1
60345,2
60346,3
60347,1
60348,1
60349,1
60350,1
60351,2
60352,2
60353,1
60354,3
60355,1
60356,1
60357,2
60358,1
60359,2
60360,3
60361,2
60362,2
60363,2
60364,1
60365,1
60366,1
60367,1
60368,3
60369,1
60370,2
60371,3
60372,1
60373,3
60374,2
60375,1
60376,1
60377,1
60378,1
60379,1
60380,3
60381,2
60382,1
60383,2
60384,1
60385,2
60386,3
60387,2
60388,2
60389,1
60390,2
60391,3
60392,2
60393,3
60394,2
60395,3
60396,1
60397,2
60398,1
60399,3
60400,3
60401,2
60402,1
60403,3
60404,2
60405,1
60406,1
60407,3
60408,2
60409,2
60410,2
60411,1
60412,2
60413,2
60414,1
60415,1
60416,3
60417,3
60418,2
60419,2
60420,2
60421,3
60422,1
60423,3
60424,1
60425,1
60426,2
60427,2
60428,1
60429,3
60430,3
60431,3
60432,2
60433,2
60434,2
60435,3
60436,1
60437,2
60438,3
60439,1
60440,2
60441,1
60442,2
60443,2
60444,2
60445,1
60446,2
60447,2
60448,2
60449,2
60450,2
60451,2
60452,3
60453,2
60454,1
60455,1
60456,1
60457,2
60458,3
60459,3
60460,1
60461,1
60462,1
60463,2
60464,1
60465,2
60466,1
60467,1
60468,2
60469,2
60470,2
60471,2
60472,1
60473,2
60474,2
60475,2
60476,1
60477,3
60478,1
60479,2
60480,1
60481,3
60482,2
60483,2
60484,2
60485,2
60486,1
60487,1
60488,2
60489,2
60490,3
60491,2
60492,3
60493,2
60494,2
60495,1
60496,2
60497,3
60498,1
60499,1
60500,1
60501,2
60502,2
60503,3
60504,2
60505,2
60506,3
60507,1
60508,1
60509,2
60510,1
60511,2
60512,2
60513,2
60514,2
60515,3
60516,1
60517,2
60518,1
60519,2
60520,2
60521,1
60522,3
60523,1
60524,1
60525,2
60526,1
60527,3
60528,1
60529,2
60530,1
60531,1
60532,3
60533,2
60534,3
60535,3
60536,1
