responseID,persona,human,ss
R_06uCk1aoshCrZBL,"Racially, I am white. I am male. I was born in 1982. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Ontario. ",-1,2
R_11ZQLWl03v1yogI,"Racially, I am white. I am male. I was born in 1998. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Quebec. ",2,2
R_10GkDWMvmHF3Wu0,"Racially, I am white. I am female. I was born in 1984. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Nova Scotia. ",-1,2
R_07HQjnVRHiyNNh7,"Racially, I am white. I am male. I was born in 2004. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Ontario. ",1,2
R_10pmdl2mRw7JDvU,"Racially, I am white. I am female. I was born in 1958. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",1,2
R_11imO5Hh4AkOhgK,"Racially, I am white. I am female. I was born in 1963. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",1,1
R_0OGQyxswxdCTbRT,"Racially, I am white. I am female. I was born in 1951. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in British Columbia. ",-1,1
R_0AmaHjPUJLwNe1P,"Racially, I am white. I am female. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Quebec. ",1,2
R_0SrU48eJnQgsdqx,"Racially, I am white. I am female. I was born in 1985. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 2. I live in Quebec. ",-1,2
R_0BOcWEU0fR2T9At,"Racially, I am white. I am male. I was born in 1976. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Alberta. ",1,1
