responseID,VCF0101,VCF0104,VCF0105a,VCF0110,VCF0111,VCF0114,VCF0127,VCF0128,VCF0130,VCF0140,VCF0143,VCF0146,VCF0147,VCF0901b,VCF0302,VCF0310,VCF0705,VCF0733,VCF0849
0,46,1,5,4, ,4,2,4,5,6,5,9,7,OK,1,2,0,0,5
1,37,2,3,3, ,3,2,4,5,5,1,9,1,ID,4,1,3,1,1
2,40,2,1,2, ,4,2,4,3,3,1,9,1,VA,2,2,1,7,1
3,41,1,3,3, ,2,2,2,5,4,5,9,1,CA,1,1,1,2,1
4,72,1,4,4, ,5,2,4,5,6,1,9,5,CO,2,2,2,9,5
5,71,2,1,3, ,1,2,4,5,5,1,9,3,TX,2,3,1,3,1
6,37,2,1,3, ,1,2,1,5,4,1,9,1,WI,1,2,2,3,5
7,45,2,1,2, ,1,2,1,1,3,1,1,1,MS,1,1,0,2,5
8,70,2,1,2, ,3,2,1,5,3,1,9,1,AZ,2,2,1,9,5
9,43,1,5,3, ,3,2,4,5,4,5,1,4,CA,5,2,1,7,1
10,37,2,5,2, ,3,2,4,5,3,5,2,1,MD,5,2,1,0,5
11,55,1,1,2, ,4,2,4,2,3,1,1,1,WI,5,2,1,3,5
12,30,2,1,2, ,1,2,4,5,3,1,2,2,OR,1,2,2,9,5
13,38,1,3,4, ,4,2,4,2,6,5,9,1,VA,5,3,1,2,1
14,41,2,2,3, ,1,2,1,5,5,1,2,3,NC,2,2,0,2,1
15,66,1,5,3, ,2,2,2,5,5,1,9,1,ID,2,3,0,1,5
16,54,1,1,4, ,5,2,2,5,6,1,1,1,MA,2,3,1,7,1
17,55,1,1,4, ,4,1,2,5,6,1,9,1,NH,5,3,1,7,1
18,62,2,1,4, ,3,2,2,2,6,1,9,1,NV,5,3,1,7,1
19,80,2,1,2, ,2,2,2,1,3,1,9,5,WI,5,2,1,1,1
20,31,1,5,4, ,3,2,2,4,6,1,2,2,PA,1,2,0,1,5
21,80,2,5,1, ,2,2,2,1,2,5,1,5,CA,5,3,1,6,1
22,24,1,1,4, ,4,1,4,5,6,1,9,2,NY,2,3,1,7,1
23,55,1,1,4, ,3,2,4,1,6,1,9,1,AZ,1,3,0,9,5
24,59,2,5,1, ,2,2,2,5,2,5,2,1,CA,5,3,0,2,6
25,73,1,1,4, ,2,2,1,5,6,1,9,1,GA,5,2,1,1,1
26,72,2,1,1, ,2,2,1,1,2,1,1,5,NC,2,3,2,1,5
27,50,1,1,4, ,4,2,2,5,6,1,1,1,VA,2,1,2,2,5
28,66,1,1,4, ,5,2,2,5,6,1,1,1,NY,1,3,1,6,5
29,41,1,5,2, ,3,2,4,5,3,5,9,1,AZ,5,2,1,2,1
30,52,2,3,2, ,1,2,4,4,3,1,2,4,HI,2,2,0,9,5
31,45,1,4,3, ,3,2,4,5,5,1,9,3,CO,4,1,0,5,5
32,46,2,1,4, ,1,2,1,5,6,1,1,2,ID,5,3,1,7,1
33,66,1,1,4, ,4,1,1,4,6,1,9,1,WI,1,3,2,1,5
34,60,2,1,4, ,4,2,2,4,6,1,1,3,NY,5,3,1,7,1
35,73,2,1,4, ,3,2,1,4,6,1,9,1,TX,1,2,2,1,5
36,71,2,2,3, ,3,2,1,1,5,1,9,1,IL,5,3,1,7,5
37,28,2,1,4, ,1,2,4,5,6,1,2,2,OH,2,2,1,7,1
38,73,2,1,4, ,2,2,4,5,6,1,1,1,AR,5,3,1,7,1
39,0,1,1,4, ,0,2,1,9,6,1,1,1,GA,1,3,2,5,5
40,37,2,1,4, ,4,2,1,2,6,1,9,1,TX,1,1,2,2,5
41,56,2,2,3, ,1,2,1,1,5,1,1,2,PA,5,2,1,3,5
42,48,1,1,4, ,3,2,1,5,6,1,9,3,NM,1,3,2,4,5
43,53,2,1,4, ,4,2,1,5,6,1,9,1,KS,1,3,2,7,5
44,72,2,1,3, ,5,2,4,5,5,1,1,3,CA,2,2,2,1,1
45,55,1,1,2, ,1,2,1,5,3,1,9,1,MO,1,2,2,5,5
46,79,1,1,3, ,3,1,2,1,4,1,9,5,PA,5,3,1,6,1
47,38,1,1,4, ,4,2,4,5,6,1,1,1,MN,2,2,1,3,1
48,42,2,3,4, ,3,1,1,1,6,5,9,2,CA,1,2,2,3,1
49,70,1,1,4, ,3,2,2,4,6,1,9,1,MO,2,3,1,4,5
50,50,2,4,3, ,0,2,4,1,4,1,1,8,TX,5,3,1,5,5
51,50,2,2,4, ,3,2,4,5,6,1,9,2,VA,5,3,1,2,1
52,27,2,1,1, ,1,2,1,4,2,1,9,1,OH,2,2,0,9,1
53,62,1,1,2, ,1,2,1,1,3,1,1,2,KY,1,2,0,9,5
54,51,2,9,3, ,0,2,2,1,5,1,1,1,PA,2,3,3,9,5
55,60,1,1,3, ,3,2,1,5,5,1,1,1,AZ,1,2,0,9,5
56,65,2,1,4, ,3,2,2,1,6,1,9,3,GA,5,3,1,3,1
57,0,1,1,4, ,4,2,3,4,6,5,2,2,NY,2,3,1,7,1
58,48,1,1,2, ,3,2,4,4,3,1,2,7,OH,1,2,1,3,5
59,55,1,1,2, ,3,2,1,5,3,1,2,1,TX,2,2,2,3,5
60,54,1,1,4, ,4,2,2,3,6,1,1,1,IL,2,1,1,7,5
61,38,2,1,4, ,3,2,4,5,6,1,1,1,MT,5,2,0,5,1
62,80,1,1,4, ,3,2,2,1,6,1,9,1,TN,5,3,1,7,1
63,37,2,6,4, ,3,1,4,5,6,1,9,1,LA,5,3,1,7,1
64,38,1,1,4, ,5,2,2,5,6,5,9,1,NJ,2,2,1,5,1
65,60,1,1,3, ,3,2,1,5,4,5,9,1,CA,2,3,1,2,1
66,46,1,6,3, ,3,1,4,3,5,5,9,3,CA,2,2,1,7,5
67,78,2,1,4, ,4,1,4,5,6,1,9,1,CA,5,3,2,7,1
68,39,2,1,4, ,3,2,4,2,6,1,1,1,CO,5,2,1,7,1
69,33,2,2,4, ,3,2,1,5,6,1,2,2,IL,5,2,1,7,1
70,74,2,1,4, ,1,2,4,5,6,1,9,3,CA,5,3,1,1,1
71,61,2,1,3, ,3,2,2,5,4,1,1,5,MN,5,3,1,7,1
72,67,2,1,3, ,2,2,1,5,5,1,9,3,MN,5,3,1,0,5
73,60,2,1,2, ,3,2,1,5,3,1,9,7,PA,5,3,1,1,5
74,0,1,1,3, ,4,2,2,5,5,1,1,1,PA,1,3,2,4,5
75,21,1,2,3, ,2,2,4,5,5,5,2,2,IN,2,2,0,9,5
76,49,2,2,1, ,1,2,2,4,2,1,2,1,NY,5,2,0,5,1
77,80,1,1,4, ,3,1,4,5,6,1,9,1,PA,5,3,1,9,1
78,70,1,1,3, ,2,2,3,5,5,1,1,1,FL,2,1,2,1,5
79,70,2,1,2, ,2,2,1,5,3,5,1,5,TX,5,2,1,5,5
80,72,1,1,4, ,4,2,1,1,6,1,9,1,OK,2,2,2,1,5
81,78,2,1,3, ,3,2,1,1,5,1,9,1,AZ,1,3,2,7,5
82,43,2,1,4, ,3,2,4,2,6,1,1,3,DE,5,2,1,3,1
83,45,2,2,3, ,1,2,1,3,5,1,9,2,DC,2,3,0,3,1
84,44,2,1,4, ,4,2,1,3,6,1,1,1,IN,5,2,1,4,1
85,50,2,5,3, ,2,2,4,4,4,1,9,2,NV,5,3,1,5,1
86,0,2,1,4, ,0,2,4,5,6,1,1,1,FL,2,1,0,0,5
87,33,2,1,4, ,3,2,2,5,6,1,9,1,WV,2,2,1,1,1
88,55,2,1,2, ,3,1,2,5,3,1,1,1,MA,1,1,0,9,5
89,28,2,1,4, ,4,2,1,5,6,1,9,1,OH,1,2,2,4,5
90,34,2,1,4, ,5,2,1,1,6,1,9,7,VA,1,3,0,7,5
91,24,2,1,4, ,4,2,4,5,6,1,9,7,AZ,1,1,2,7,1
92,26,2,1,3, ,1,2,1,1,4,1,2,3,OK,1,3,2,7,5
93,75,1,1,2, ,2,2,1,5,3,1,9,5,OH,5,3,1,2,1
94,61,1,4,4, ,3,1,4,5,6,1,9,1,HI,2,3,2,7,5
95,80,2,1,4, ,5,2,1,1,6,1,9,5,TX,1,3,2,2,5
96,58,1,1,3, ,4,2,4,5,5,1,1,1,MA,2,3,1,7,1
97,50,2,5,4, ,3,2,2,5,6,1,2,2,GA,5,3,1,7,1
98,76,2,1,4, ,2,2,1,5,6,5,9,5,SC,5,3,1,3,1
99,80,2,1,3, ,3,2,1,1,5,1,1,5,WA,2,2,1,2,1
100,48,2,6,2, ,1,2,3,3,3,1,1,2,PA,5,2,0,9,1
101,61,2,1,2, ,4,2,2,5,3,1,9,1,PA,2,1,0,9,1
102,45,2,1,4, ,4,1,4,5,6,1,9,3,CA,5,3,1,4,1
103,37,2,1,3, ,2,2,4,1,4,1,1,1,ID,1,3,2,5,5
104,36,1,1,4, ,4,2,1,1,6,1,9,1,IN,1,3,2,2,5
105,80,2,1,1, ,1,1,2,3,2,5,2,5,PA,5,3,1,2,1
106,66,2,1,2, ,1,2,1,4,3,1,1,2,MD,1,2,2,9,5
107,80,2,1,2, ,3,2,2,1,3,1,1,1,MA,2,3,2,1,5
108,66,1,4,3, ,4,2,1,2,5,1,1,1,KS,2,2,2,2,5
109,60,2,1,3, ,4,2,1,5,5,1,1,1,PA,1,2,1,7,5
110,34,1,1,0, ,4,1,2,4,9,1,1,1,NY,1,3,2,5,5
111,80,1,3,4, ,5,2,4,5,6,5,1,1,CA,1,3,2,9,5
112,71,1,1,2, ,3,2,2,5,3,1,1,1,IL,5,2,0,7,6
113,72,1,1,3, ,2,2,1,3,5,1,1,3,OH,1,3,2,7,5
114,57,1,1,4, ,2,2,2,1,6,5,9,2,IL,1,2,2,2,1
115,36,2,5,4, ,4,1,2,3,6,5,9,1,MA,1,3,2,7,5
116,61,2,2,3, ,3,1,1,3,5,1,9,1,NC,5,2,1,7,1
117,58,1,4,4, ,1,1,2,1,6,1,9,1,NY,1,3,2,7,5
118,30,1,2,3, ,4,2,4,4,5,1,2,2,PA,2,2,1,2,1
119,80,1,1,4, ,4,2,1,5,6,1,9,5,AZ,1,3,2,1,5
120,0,1,9,4, ,0,2,4,3,6,1,1,1,FL,1,3,2,5,5
121,72,1,5,3, ,2,1,2,5,5,1,1,1,CO,5,2,1,3,1
122,38,1,5,1, ,1,2,1,2,2,1,2,2,AL,5,3,1,9,1
123,60,1,1,3, ,2,2,2,5,5,5,9,1,MI,1,2,0,1,5
124,52,2,2,2, ,1,2,1,2,3,1,2,1,VA,2,2,0,6,5
125,40,2,1,2, ,2,2,1,5,3,1,1,7,TN,2,2,0,1,1
126,23,2,1,4, ,2,1,2,5,6,1,9,2,OR,5,2,1,7,1
127,54,1,1,2, ,4,2,1,3,3,1,1,1,WI,1,3,2,7,5
128,70,2,1,4, ,3,1,1,5,6,1,1,5,AZ,5,3,1,7,1
129,23,2,5,3, ,2,2,4,5,5,5,2,7,CA,2,1,0,7,1
130,66,1,2,4, ,4,1,4,5,6,5,1,1,PA,2,2,1,5,1
131,60,1,1,3, ,4,2,2,2,5,5,1,1,MO,1,2,2,1,5
132,50,2,1,4, ,4,2,2,2,6,1,1,1,GA,2,3,2,7,5
133,62,1,1,4, ,4,2,2,2,6,1,9,1,MD,1,3,2,7,5
134,37,2,1,4, ,4,2,4,5,6,1,9,1,AZ,2,3,1,3,1
135,73,2,1,2, ,2,2,4,2,3,1,9,1,NH,2,3,1,6,5
136,52,1,1,4, ,4,2,4,2,6,1,1,1,OH,1,3,1,7,5
137,76,2,1,4, ,1,1,1,2,6,1,9,1,AZ,1,3,2,6,5
138,73,1,1,3, ,1,2,4,5,5,1,2,3,AZ,2,2,1,7,5
139,42,2,1,4, ,4,2,4,5,6,1,2,7,NY,2,1,3,1,1
140,67,1,1,2, ,1,2,2,1,3,1,9,1,LA,2,2,2,1,5
141,64,1,1,3, ,3,1,4,5,4,1,1,1,MN,5,3,1,5,1
142,55,2,1,3, ,3,2,2,4,4,1,9,1,IL,5,1,2,4,5
143,29,2,2,4, ,3,2,4,5,6,1,2,7,NC,2,2,1,4,1
144,34,2,2,3, ,2,2,4,4,5,1,2,2,NJ,5,3,1,3,5
145,45,2,1,4, ,4,2,4,5,6,1,1,3,NH,2,2,0,5,1
146,40,1,4,4, ,5,2,4,5,6,5,1,1,MA,5,3,1,3,1
147,28,1,1,3, ,1,2,4,2,5,1,2,1,TX,2,2,0,9,5
148,49,1,5,3, ,4,1,2,5,5,1,9,1,NY,5,2,1,3,1
149,37,1,1,4, ,4,1,1,5,6,1,1,1,MI,5,2,1,6,1
150,80,2,1,3, ,4,2,1,1,5,5,9,1,AR,1,3,2,2,5
151,55,2,3,2, ,3,2,2,5,3,5,1,3,VA,5,1,0,9,1
152,80,2,1,1, ,2,2,1,4,2,1,2,5,NC,1,3,2,0,1
153,63,2,6,4, ,4,2,1,1,6,1,1,2,NC,5,2,0,9,1
154,66,2,1,3, ,2,2,1,2,5,1,1,1,SC,2,3,2,5,5
155,55,1,1,4, ,2,2,1,5,6,1,1,1,PA,1,2,0,3,5
156,65,1,1,3, ,4,2,4,1,5,1,1,1,IL,1,3,2,4,5
157,69,2,1,4, ,3,2,4,5,6,1,9,3,TN,5,3,1,7,1
158,70,2,1,2, ,1,2,1,5,3,1,1,3,LA,1,3,2,2,5
159,64,1,1,2, ,3,2,2,5,3,1,9,1,FL,1,2,0,2,5
160,62,1,1,2, ,4,1,1,4,3,1,9,1,KY,1,2,2,9,5
161,50,1,1,4, ,4,2,3,1,6,1,9,1,NY,1,3,2,4,5
162,46,2,2,2, ,1,2,4,5,3,1,2,2,KS,5,2,0,2,5
163,67,2,6,0, ,3,2,1,1,9,9,9,1,NC,5,3,1,7,1
164,43,2,1,3, ,1,2,4,5,4,1,9,2,NC,5,3,0,9,1
165,30,1,1,4, ,2,2,4,5,6,1,9,2,CT,2,3,1,7,1
166,80,1,1,2, ,3,2,1,2,3,1,1,1,MO,1,1,2,2,5
167,58,2,1,2, ,1,2,1,5,3,1,9,5,KY,5,3,0,7,1
168,29,1,1,3, ,4,2,4,5,5,1,9,2,VA,2,3,3,0,5
169,71,1,1,3, ,1,2,2,4,5,1,9,1,MO,5,2,1,9,5
170,69,1,1,4, ,4,2,4,5,6,1,1,1,NH,1,2,2,4,5
171,80,1,1,4, ,5,2,3,4,6,1,1,1,CA,5,3,1,9,1
172,28,1,1,4, ,4,1,2,5,6,5,9,7,MA,5,3,1,6,1
173,22,2,5,4, ,1,2,4,3,6,5,9,2,TX,5,2,0,9,1
174,72,2,1,4, ,3,1,4,2,6,1,9,3,IL,5,3,1,7,1
