responseID,VCF0705
4039,1
3763,1
6572,1
6413,1
4744,1
2959,1
827,1
90,0
6606,1
3699,1
853,0
1452,1
1699,1
4708,1
2402,0
598,0
6855,1
37,1
2881,1
4419,0
5521,1
1177,0
335,0
3727,1
734,1
6067,0
1661,1
8172,0
2708,0
5462,1
6527,1
2397,1
7718,1
1172,1
2896,1
4857,0
3295,0
4655,1
3014,1
2118,1
5945,1
4310,1
2580,0
3099,1
2493,1
3050,0
1651,1
7846,1
6930,0
6905,1
6938,1
1842,1
1912,0
3753,1
2373,1
7795,1
3680,0
4581,0
6698,0
8119,1
597,1
4397,1
5375,1
4064,1
7582,0
1569,1
4079,1
4737,0
5925,1
5549,0
632,0
6008,1
4843,1
4276,0
7388,0
7995,0
108,1
423,1
1786,0
771,1
7492,0
5284,1
2544,0
1127,1
8005,1
658,1
2529,1
3436,0
6536,1
6836,1
2209,0
3879,0
5824,1
2497,0
3370,1
5177,0
2843,1
17,1
6415,1
3490,0
