responseID,initialParty,humanVote,ssVote
3,Republican,Democrat,Democrat
28,Republican,Democrat,Republican
58,Republican,Democrat,Republican
67,Democrat,Republican,Democrat
109,Republican,Democrat,Republican
136,Republican,Democrat,Republican
142,Democrat,Republican,Republican
229,Republican,Democrat,Republican
301,Democrat,Republican,Republican
353,Republican,Democrat,Republican
385,Republican,Democrat,Republican
444,Republican,Democrat,Republican
452,Democrat,Republican,Democrat
522,Democrat,Republican,Republican
525,Republican,Democrat,Republican
630,Democrat,Republican,Democrat
648,Republican,Democrat,Republican
654,Republican,Democrat,Republican
670,Republican,Democrat,Republican
791,Democrat,Republican,Republican
794,Republican,Democrat,Republican
802,Republican,Democrat,Republican
842,Republican,Democrat,Democrat
870,Democrat,Republican,Republican
882,Democrat,Republican,Republican
1024,Republican,Democrat,Republican
1042,Republican,Democrat,Republican
1096,Democrat,Republican,Republican
1126,Republican,Democrat,Republican
1174,Democrat,Republican,Republican
1221,Republican,Democrat,Republican
1245,Republican,Democrat,Republican
1255,Republican,Democrat,Republican
1257,Democrat,Republican,Republican
1258,Democrat,Republican,Democrat
1278,Democrat,Republican,Democrat
1297,Democrat,Republican,Republican
1301,Democrat,Republican,Democrat
1324,Republican,Democrat,Republican
1360,Republican,Democrat,Republican
1371,Republican,Democrat,Republican
1381,Republican,Democrat,Republican
1427,Republican,Democrat,Republican
1431,Republican,Democrat,Democrat
1524,Democrat,Republican,Republican
1525,Republican,Democrat,Republican
1533,Democrat,Republican,Republican
1575,Democrat,Republican,Democrat
1612,Republican,Democrat,Republican
1672,Republican,Democrat,Republican
1714,Republican,Democrat,Republican
1764,Republican,Democrat,Republican
1791,Republican,Democrat,Republican
1856,Democrat,Republican,Democrat
1868,Republican,Democrat,Republican
1869,Republican,Democrat,Republican
1876,Republican,Democrat,Democrat
1912,Democrat,Republican,Democrat
1931,Democrat,Republican,Democrat
1968,Republican,Democrat,Democrat
2015,Republican,Democrat,Democrat
2033,Republican,Democrat,Republican
2099,Democrat,Republican,Republican
2198,Democrat,Republican,Democrat
2325,Republican,Democrat,Republican
2332,Republican,Democrat,Republican
2334,Republican,Democrat,neither Democrat nor Republican (incl. 3d/minor party candidates and write-ins)
2335,Republican,Democrat,Republican
2355,Republican,Democrat,Republican
2371,Republican,Democrat,Republican
2378,Democrat,Republican,Republican
2395,Republican,Democrat,Democrat
2464,Republican,Democrat,Republican
2465,Republican,Democrat,Republican
2510,Republican,Democrat,Republican
2531,Democrat,Republican,Democrat
2557,Republican,Democrat,Democrat
2568,Democrat,Republican,Republican
2610,Republican,Democrat,Republican
2618,Republican,Democrat,Republican
2640,Republican,Democrat,neither Democrat nor Republican (incl. 3d/minor party candidates and write-ins)
2678,Democrat,Republican,Democrat
2724,Democrat,Republican,Democrat
2731,Democrat,Republican,Republican
2839,Democrat,Republican,Republican
2908,Democrat,Republican,Democrat
2993,Democrat,Republican,Republican
3038,Democrat,Republican,Democrat
3052,Democrat,Republican,Republican
3070,Democrat,Republican,Republican
3082,Republican,Democrat,Republican
3091,Republican,Democrat,Republican
3092,Republican,Democrat,Republican
3117,Republican,Democrat,Republican
3152,Democrat,Republican,Republican
3157,Republican,Democrat,Republican
3189,Republican,Democrat,Republican
3191,Republican,Democrat,Republican
3194,Democrat,Republican,Democrat
3208,Democrat,Republican,Republican
3221,Republican,Democrat,Republican
3224,Democrat,Republican,neither Democrat nor Republican (incl. 3d/minor party candidates and write-ins)
3333,Republican,Democrat,Republican
3394,Democrat,Republican,Democrat
3418,Democrat,Republican,Republican
3468,Republican,Democrat,Republican
3514,Republican,Democrat,Republican
3543,Republican,Democrat,Republican
3617,Republican,Democrat,Republican
3632,Republican,Democrat,Republican
3639,Democrat,Republican,Democrat
3657,Republican,Democrat,Republican
3669,Democrat,Republican,Democrat
3744,Democrat,Republican,Democrat
3780,Republican,Democrat,Republican
3782,Republican,Democrat,Republican
3785,Democrat,Republican,Republican
3790,Republican,Democrat,Republican
3791,Republican,Democrat,Republican
3879,Republican,Democrat,Republican
3946,Democrat,Republican,Republican
4069,Republican,Democrat,Republican
4101,Democrat,Republican,Republican
4111,Republican,Democrat,Republican
4155,Republican,Democrat,Republican
4178,Republican,Democrat,Republican
4216,Republican,Democrat,Republican
4283,Democrat,Republican,Democrat
4344,Republican,Democrat,Democrat
4356,Democrat,Republican,Republican
4379,Republican,Democrat,Republican
4399,Republican,Democrat,Democrat
4417,Republican,Democrat,Republican
4524,Democrat,Republican,Republican
4562,Republican,Democrat,Republican
4612,Republican,Democrat,Republican
4633,Democrat,Republican,Democrat
4636,Democrat,Republican,Democrat
4681,Democrat,Republican,neither Democrat nor Republican (incl. 3d/minor party candidates and write-ins)
4687,Democrat,Republican,Democrat
4728,Democrat,Republican,Democrat
4847,Republican,Democrat,Democrat
4861,Democrat,Republican,Republican
5004,Republican,Democrat,Republican
5055,Republican,Democrat,Republican
5067,Republican,Democrat,Republican
5068,Republican,Democrat,Republican
5177,Republican,Democrat,Republican
5221,Democrat,Republican,Republican
5227,Republican,Democrat,Democrat
5259,Republican,Democrat,Democrat
5344,Republican,Democrat,Republican
5385,Republican,Democrat,Democrat
5430,Republican,Democrat,Republican
5455,Republican,Democrat,Republican
5465,Republican,Democrat,Republican
5517,Republican,Democrat,Republican
5520,Republican,Democrat,Republican
5632,Republican,Democrat,Republican
5648,Republican,Democrat,Republican
5724,Republican,Democrat,Republican
5735,Republican,Democrat,Republican
5768,Democrat,Republican,Republican
5819,Republican,Democrat,Republican
5826,Republican,Democrat,Republican
5832,Republican,Democrat,Republican
5911,Republican,Democrat,Republican
5970,Republican,Democrat,Democrat
5974,Republican,Democrat,Democrat
6013,Republican,Democrat,Republican
6050,Democrat,Republican,Republican
6062,Republican,Democrat,Republican
6092,Democrat,Republican,Republican
6138,Republican,Democrat,Republican
6173,Republican,Democrat,Republican
6204,Republican,Democrat,Republican
6226,Democrat,Republican,Democrat
6238,Republican,Democrat,Republican
6271,Republican,Democrat,Republican
6274,Democrat,Republican,Republican
6279,Democrat,Republican,Democrat
6288,Republican,Democrat,Democrat
6346,Republican,Democrat,Republican
6388,Republican,Democrat,Republican
6401,Republican,Democrat,Republican
6407,Democrat,Republican,Republican
6411,Democrat,Republican,Democrat
6433,Republican,Democrat,Republican
6446,Democrat,Republican,Republican
6455,Republican,Democrat,Republican
6458,Republican,Democrat,Republican
6460,Republican,Democrat,Democrat
6476,Republican,Democrat,Republican
6496,Republican,Democrat,Republican
6519,Republican,Democrat,Republican
6557,Republican,Democrat,Republican
6573,Republican,Democrat,Republican
6574,Republican,Democrat,Democrat
6596,Republican,Democrat,Republican
6673,Republican,Democrat,Republican
6725,Republican,Democrat,Republican
6763,Republican,Democrat,Democrat
6768,Republican,Democrat,Republican
6785,Republican,Democrat,Republican
6819,Republican,Democrat,Republican
6820,Republican,Democrat,Republican
6833,Democrat,Republican,Democrat
6853,Republican,Democrat,Republican
6879,Republican,Democrat,Republican
6900,Republican,Democrat,Republican
6948,Republican,Democrat,Republican
6986,Republican,Democrat,Republican
7096,Republican,Democrat,Republican
7106,Republican,Democrat,Republican
7132,Republican,Democrat,Republican
7138,Republican,Democrat,Republican
7140,Democrat,Republican,Democrat
7194,Republican,Democrat,Democrat
7211,Democrat,Republican,Republican
7261,Republican,Democrat,Democrat
7287,Republican,Democrat,Republican
7345,Republican,Democrat,Republican
7356,Republican,Democrat,Democrat
7437,Republican,Democrat,Republican
7451,Republican,Democrat,Democrat
7453,Republican,Democrat,Republican
7457,Republican,Democrat,Democrat
7497,Republican,Democrat,Republican
7506,Democrat,Republican,Democrat
7544,Democrat,Republican,Republican
7549,Republican,Democrat,Republican
7560,Republican,Democrat,Republican
7603,Republican,Democrat,Republican
7608,Republican,Democrat,Republican
7613,Republican,Democrat,Republican
7618,Republican,Democrat,Republican
7681,Republican,Democrat,Republican
7743,Democrat,Republican,Democrat
7761,Republican,Democrat,Republican
7764,Republican,Democrat,Republican
7804,Republican,Democrat,Republican
7906,Republican,Democrat,Republican
7914,Republican,Democrat,Republican
7933,Republican,Democrat,Republican
8019,Democrat,Republican,Republican
8031,Republican,Democrat,Republican
8065,Republican,Democrat,Republican
8096,Republican,Democrat,Republican
8110,Republican,Democrat,Republican
8121,Democrat,Republican,Republican
8146,Republican,Democrat,Republican
8164,Republican,Democrat,Republican
8175,Republican,Democrat,Republican
8218,Republican,Democrat,Republican
8219,Democrat,Republican,Republican
8235,Democrat,Republican,neither Democrat nor Republican (incl. 3d/minor party candidates and write-ins)
