responseID,VCF0705
59944,0
59945,1
59946,1
59947,0
59948,0
59949,0
59950,1
59951,0
59952,0
59953,1
59954,1
59955,1
59956,1
59957,1
59958,0
59959,0
59960,0
59961,1
59962,1
59963,1
59964,0
59965,1
59966,1
59967,0
59968,0
59969,1
59970,0
59971,1
59972,0
59973,1
59974,0
59975,0
59976,1
59977,1
59978,1
59979,1
59980,1
59981,1
59982,1
59983,1
59984,1
59985,1
59986,1
59987,1
59988,0
59989,1
59990,1
59991,0
59992,1
59993,0
59994,1
59995,1
59996,0
59997,0
59998,1
59999,0
60000,1
60001,0
60002,0
60003,1
60004,0
60005,0
60006,1
60007,1
60008,1
60009,1
60010,0
60011,0
60012,1
60013,1
60014,1
60015,1
60016,1
60017,1
60018,1
60019,0
60020,0
60021,1
60022,0
60023,1
60024,1
60025,1
60026,1
60027,0
60028,1
60029,1
60030,0
60031,1
60032,0
60033,1
60034,0
60035,1
60036,1
60037,1
60038,0
60039,1
60040,0
60041,1
60042,1
60043,0
60044,0
60045,0
60046,1
60047,1
60048,1
60049,1
60050,1
60051,0
60052,1
60053,0
60054,1
60055,1
60056,0
60057,1
60058,1
60059,1
60060,1
60061,1
60062,0
60063,1
60064,1
60065,1
60066,1
60067,0
60068,0
60069,0
60070,1
60071,1
60072,1
60073,0
60074,1
60075,1
60076,1
60077,1
60078,1
60079,0
60080,0
60081,1
60082,0
60083,1
60084,0
60085,1
60086,0
60087,1
60088,1
60089,0
60090,1
60091,0
60092,1
60093,1
60094,1
60095,0
60096,1
60097,0
60098,1
60099,0
60100,1
60101,1
60102,1
60103,0
60104,1
60105,1
60106,0
60107,1
60108,0
60109,1
60110,1
60111,0
60112,1
60113,1
60114,1
60115,1
60116,1
60117,0
60118,1
60119,0
60120,0
60121,0
60122,1
60123,1
60124,1
60125,1
60126,1
60127,1
60128,1
60129,0
60130,1
60131,0
60132,1
60133,1
60134,1
60135,0
60136,0
60137,1
60138,0
60139,1
60140,0
60141,1
60142,1
60143,0
60144,0
60145,1
60146,0
60147,0
60148,0
60149,0
60150,0
60151,1
60152,1
60153,0
60154,1
60155,1
60156,1
60157,1
60158,0
60159,1
60160,0
60161,1
60162,1
60163,0
60164,1
60165,1
60166,1
60167,0
60168,0
60169,0
60170,0
60171,1
60172,0
60173,0
60174,1
60175,1
60176,1
60177,1
60178,0
60179,1
60180,1
60181,0
60182,0
60183,1
60184,0
60185,1
60186,0
60187,1
60188,1
60189,0
60190,1
60191,1
60192,1
60193,1
60194,0
60195,1
60196,1
60197,0
60198,1
60199,1
60200,0
60201,1
60202,1
60203,0
60204,1
60205,1
60206,1
60207,1
60208,1
60209,1
60210,1
60211,1
60212,1
60213,1
60214,0
60215,1
60216,1
60217,0
60218,0
60219,1
60220,0
60221,0
60222,1
60223,1
60224,1
60225,1
60226,1
60227,1
60228,1
60229,1
60230,1
60231,1
60232,0
60233,1
60234,0
60235,1
60236,0
60237,1
60238,0
60239,0
60240,1
60241,1
60242,1
60243,0
60244,1
60245,0
60246,0
60247,0
60248,1
60249,1
60250,0
60251,0
60252,1
60253,0
60254,1
60255,0
60256,1
60257,1
60258,1
60259,1
60260,1
60261,0
60262,1
60263,1
60264,1
60265,1
60266,1
60267,1
60268,0
60269,1
60270,1
60271,1
60272,0
60273,1
60274,1
60275,1
60276,1
60277,0
60278,0
60279,0
60280,1
60281,1
60282,1
60283,1
60284,1
60285,0
60286,1
60287,0
60288,0
60289,1
60290,0
60291,1
60292,0
60293,1
60294,1
60295,1
60296,0
60297,0
60298,0
60299,1
60300,1
60301,0
60302,0
60303,1
60304,0
60305,1
60306,1
60307,0
60308,1
60309,1
60310,0
60311,1
60312,1
60313,0
60314,0
60315,0
60316,1
60317,1
60318,0
60319,1
60320,1
60321,0
60322,1
60323,0
60324,1
60325,0
60326,1
60327,0
60328,0
60329,0
60330,0
60331,1
60332,1
60333,0
60334,1
60335,1
60336,0
60337,0
60338,1
60339,1
60340,1
60341,1
60342,1
60343,0
60344,0
60345,1
60346,0
60347,1
60348,1
60349,1
60350,1
60351,1
60352,1
60353,1
60354,0
60355,1
60356,1
60357,1
60358,1
60359,1
60360,0
60361,1
60362,1
60363,0
60364,1
60365,1
60366,0
60367,1
60368,0
60369,1
60370,0
60371,0
60372,1
60373,0
60374,1
60375,1
60376,1
60377,1
60378,1
60379,0
60380,0
60381,1
60382,1
60383,1
60384,1
60385,0
60386,0
60387,1
60388,0
60389,1
60390,1
60391,0
60392,1
60393,0
60394,1
60395,0
60396,0
60397,1
60398,1
60399,0
60400,0
60401,0
60402,1
60403,0
60404,1
60405,0
60406,1
60407,0
60408,1
60409,1
60410,1
60411,0
60412,0
60413,1
60414,0
60415,1
60416,0
60417,0
60418,0
60419,1
60420,1
60421,0
60422,1
60423,0
60424,1
60425,1
60426,1
60427,0
60428,1
60429,1
60430,0
60431,0
60432,0
60433,1
60434,1
60435,0
60436,1
60437,1
60438,0
60439,1
60440,0
60441,1
60442,1
60443,1
60444,1
60445,1
60446,1
60447,1
60448,0
60449,1
60450,1
60451,1
60452,0
60453,0
60454,0
60455,1
60456,1
60457,1
60458,0
60459,0
60460,1
60461,1
60462,1
60463,0
60464,1
60465,1
60466,0
60467,1
60468,0
60469,0
60470,1
60471,1
60472,1
60473,1
60474,1
60475,1
60476,0
60477,0
60478,1
60479,1
60480,1
60481,0
60482,0
60483,1
60484,1
60485,1
60486,0
60487,1
60488,1
60489,0
60490,0
60491,1
60492,0
60493,0
60494,1
60495,1
60496,1
60497,0
60498,1
60499,1
60500,1
60501,1
60502,1
60503,1
60504,1
60505,1
60506,0
60507,1
60508,1
60509,1
60510,1
60511,1
60512,1
60513,1
60514,0
60515,0
60516,1
60517,1
60518,1
60519,0
60520,1
60521,1
60522,0
60523,1
60524,1
60525,0
60526,1
60527,0
60528,1
60529,1
60530,1
60531,1
60532,0
60533,1
60534,0
60535,0
60536,1
60537,0
60538,0
60539,1
60540,0
60541,0
60542,0
60543,0
60544,0
60545,1
60546,1
60547,0
60548,1
60549,0
60550,1
60551,1
60552,0
60553,1
60554,1
60555,0
60556,1
60557,1
60558,1
60559,0
60560,0
60561,1
60562,1
60563,1
60564,0
60565,0
60566,1
60567,1
60568,1
60569,1
60570,0
60571,0
60572,1
60573,0
60574,0
60575,1
60576,0
60577,0
60578,1
60579,1
60580,1
60581,1
60582,1
60583,1
60584,0
60585,0
60586,1
60587,1
60588,1
60589,1
60590,0
60591,1
60592,0
60593,1
60594,1
60595,0
60596,0
60597,0
60598,0
60599,1
60600,0
60601,0
60602,1
60603,1
60604,1
60605,1
60606,1
60607,0
60608,1
60609,1
60610,1
60611,1
60612,1
60613,1
60614,0
60615,0
60616,1
60617,1
60618,1
60619,0
60620,1
60621,0
60622,0
60623,0
60624,0
60625,0
60626,1
60627,1
60628,0
60629,0
60630,0
60631,0
60632,0
60633,0
60634,1
60635,1
60636,0
60637,1
60638,0
60639,0
60640,1
60641,1
60642,1
60643,0
60644,1
60645,0
60646,1
60647,0
60648,1
60649,0
60650,1
60651,0
60652,1
60653,0
60654,1
60655,1
60656,0
60657,1
60658,1
60659,1
60660,1
60661,0
60662,0
60663,0
60664,1
60665,1
60666,1
60667,0
60668,1
60669,1
60670,1
60671,1
60672,1
60673,1
60674,0
60675,1
60676,1
60677,1
60678,1
60679,1
60680,1
60681,0
60682,1
60683,0
60684,0
60685,1
60686,0
60687,0
60688,0
60689,1
60690,1
60691,1
60692,1
60693,0
60694,0
60695,1
60696,1
60697,1
60698,0
60699,1
60700,0
60701,1
60702,1
60703,1
60704,1
60705,1
60706,1
60707,1
60708,0
60709,1
60710,1
