,VCF0105a,VCF0731,VCF0803,VCF0301,VCF0130,VCF0101,VCF0104,VCF0310,VCF0901b
59944,5,1,6,7,5,46,1,2,OK
59945,3,1,4,4,5,37,2,1,ID
59946,1,1,2,3,3,40,2,2,VA
59947,3,1,3,6,5,41,1,1,CA
59948,4,5,5,4,5,72,1,2,CO
59949,1,1,4,3,5,71,2,3,TX
59950,1,1,4,6,5,37,2,2,WI
59951,1,1,9,6,1,45,2,1,MS
59952,1,5,9,4,5,70,2,2,AZ
59953,5,1,9,2,5,43,1,2,CA
59954,5,1,9,1,5,37,2,2,MD
59955,1,1,4,2,2,55,1,2,WI
59956,1,5,6,7,5,30,2,2,OR
59957,3,1,3,2,2,38,1,3,VA
59958,2,1,4,3,5,41,2,2,NC
59959,5,1,6,5,5,66,1,3,ID
59960,1,1,3,3,5,54,1,3,MA
59961,1,1,3,1,5,55,1,3,NH
59962,1,1,2,1,2,62,2,3,NV
59963,1,1,3,2,1,80,2,2,WI
59964,5,1,6,7,4,31,1,2,PA
59965,5,1,4,1,1,80,2,3,CA
59966,1,1,2,3,5,24,1,3,NY
59967,1,5,6,7,1,55,1,3,AZ
59968,5,1,9,2,5,59,2,3,CA
59969,1,1,2,1,5,73,1,2,GA
59970,1,1,9,5,1,72,2,3,NC
59971,1,1,5,5,5,50,1,1,VA
59972,1,1,5,6,5,66,1,3,NY
59973,5,1,4,1,5,41,1,2,AZ
59974,3,5,9,4,4,52,2,2,HI
59975,4,1,4,4,5,45,1,1,CO
59976,1,1,2,1,5,46,2,3,ID
59977,1,1,6,7,4,66,1,3,WI
59978,1,1,2,2,4,60,2,3,NY
59979,1,1,9,7,4,73,2,2,TX
59980,2,1,9,1,1,71,2,3,IL
59981,1,1,1,3,5,28,2,2,OH
59982,1,1,1,1,5,73,2,3,AR
59983,1,1,6,7,9,0,1,3,GA
59984,1,1,6,7,2,37,2,1,TX
59985,2,1,4,1,1,56,2,2,PA
59986,1,1,7,7,5,48,1,3,NM
59987,1,1,7,7,5,53,2,3,KS
59988,1,1,3,5,5,72,2,2,CA
59989,1,1,6,7,5,55,1,2,MO
59990,1,1,2,1,1,79,1,3,PA
59991,1,1,3,3,5,38,1,2,MN
59992,3,1,4,7,1,42,2,2,CA
59993,1,1,6,3,4,70,1,3,MO
59994,4,1,4,1,1,50,2,3,TX
59995,2,1,2,1,5,50,2,3,VA
59996,1,9,4,4,4,27,2,2,OH
59997,1,5,9,7,1,62,1,2,KY
59998,9,5,4,4,1,51,2,3,PA
59999,1,9,6,7,5,60,1,2,AZ
60000,1,1,3,1,1,65,2,3,GA
60001,1,1,3,3,4,0,1,3,NY
60002,1,1,4,6,4,48,1,2,OH
60003,1,1,6,5,5,55,1,2,TX
60004,1,1,5,4,3,54,1,1,IL
60005,1,1,4,2,5,38,2,2,MT
60006,1,1,2,1,1,80,1,3,TN
60007,6,1,2,2,5,37,2,3,LA
60008,1,1,2,3,5,38,1,2,NJ
60009,1,1,4,5,5,60,1,3,CA
60010,6,1,5,3,3,46,1,2,CA
60011,1,1,1,1,5,78,2,3,CA
60012,1,1,2,1,2,39,2,2,CO
60013,2,1,2,2,5,33,2,2,IL
60014,1,1,2,1,5,74,2,3,CA
60015,1,1,3,2,5,61,2,3,MN
60016,1,1,9,1,5,67,2,3,MN
60017,1,1,9,2,5,60,2,3,PA
60018,1,1,6,7,5,0,1,3,PA
60019,2,5,9,4,5,21,1,2,IN
60020,2,1,4,1,4,49,2,2,NY
60021,1,5,2,1,5,80,1,3,PA
60022,1,1,4,5,5,70,1,1,FL
60023,1,1,5,1,5,70,2,2,TX
60024,1,1,5,5,1,72,1,2,OK
60025,1,1,7,7,1,78,2,3,AZ
60026,1,1,2,1,2,43,2,2,DE
60027,2,1,9,4,3,45,2,3,DC
60028,1,1,3,2,3,44,2,2,IN
60029,5,1,4,1,4,50,2,3,NV
60030,1,1,4,4,5,0,2,1,FL
60031,1,1,3,3,5,33,2,2,WV
60032,1,5,9,7,5,55,2,1,MA
60033,1,1,5,6,5,28,2,2,OH
60034,1,1,5,7,1,34,2,3,VA
60035,1,1,2,7,5,24,2,1,AZ
60036,1,1,7,7,1,26,2,3,OK
60037,1,1,3,1,5,75,1,3,OH
60038,4,1,5,4,5,61,1,3,HI
60039,1,1,6,7,1,80,2,3,TX
60040,1,1,3,3,5,58,1,3,MA
60041,5,1,4,2,5,50,2,3,GA
60042,1,1,3,1,5,76,2,3,SC
60043,1,1,4,4,1,80,2,2,WA
60044,6,5,2,1,3,48,2,2,PA
60045,1,5,3,4,5,61,2,1,PA
60046,1,1,2,1,5,45,2,3,CA
60047,1,1,6,7,1,37,2,3,ID
60048,1,1,6,7,1,36,1,3,IN
60049,1,1,2,1,3,80,2,3,PA
60050,1,5,7,7,4,66,2,2,MD
60051,1,1,5,5,1,80,2,3,MA
60052,4,1,6,5,2,66,1,2,KS
60053,1,1,4,6,5,60,2,2,PA
60054,1,1,6,7,4,34,1,3,NY
60055,3,5,6,7,5,80,1,3,CA
60056,1,1,4,2,5,71,1,2,IL
60057,1,1,6,7,3,72,1,3,OH
60058,1,1,3,6,1,57,1,2,IL
60059,5,1,4,7,3,36,2,3,MA
60060,2,1,4,1,3,61,2,2,NC
60061,4,1,6,7,1,58,1,3,NY
60062,2,1,9,3,4,30,1,2,PA
60063,1,1,6,6,5,80,1,3,AZ
60064,9,1,6,7,3,0,1,3,FL
60065,5,1,9,1,5,72,1,2,CO
60066,5,9,1,1,2,38,1,3,AL
60067,1,1,9,6,5,60,1,2,MI
60068,2,1,5,4,2,52,2,2,VA
60069,1,1,4,4,5,40,2,2,TN
60070,1,1,2,1,5,23,2,2,OR
60071,1,1,6,7,3,54,1,3,WI
60072,1,1,3,1,5,70,2,3,AZ
60073,5,1,9,4,5,23,2,1,CA
60074,2,1,2,3,5,66,1,2,PA
60075,1,1,6,7,2,60,1,2,MO
60076,1,1,6,5,2,50,2,3,GA
60077,1,1,6,7,2,62,1,3,MD
60078,1,1,2,4,5,37,2,3,AZ
60079,1,1,6,4,2,73,2,3,NH
60080,1,1,5,6,2,52,1,3,OH
60081,1,1,7,7,2,76,2,3,AZ
60082,1,1,5,4,5,73,1,2,AZ
60083,1,1,3,3,5,42,2,1,NY
60084,1,1,4,4,1,67,1,2,LA
60085,1,1,4,1,5,64,1,3,MN
60086,1,1,9,2,4,55,2,1,IL
60087,2,1,2,3,5,29,2,2,NC
60088,2,1,6,1,4,34,2,3,NJ
60089,1,1,4,3,5,45,2,2,NH
60090,4,1,1,2,5,40,1,3,MA
60091,1,9,4,5,2,28,1,2,TX
60092,5,1,4,2,5,49,1,2,NY
60093,1,1,2,1,5,37,1,2,MI
60094,1,1,6,7,1,80,2,3,AR
60095,3,9,3,2,5,55,2,1,VA
60096,1,1,3,6,4,80,2,3,NC
60097,6,9,9,1,1,63,2,2,NC
60098,1,1,6,5,2,66,2,3,SC
60099,1,1,5,6,5,55,1,2,PA
60100,1,1,6,6,1,65,1,3,IL
60101,1,1,2,1,5,69,2,3,TN
